"","fileName","answer","guess1","guess2","guess3","guess4","guess5","confidence1","confidence2","confidence3","confidence4","confidence5"
"1","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_0001.jpg'",0,"1",21,27,20," 13","0.4347",0.2253,0.1989,0.0427," 0.0300"
"2","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_0008.jpg'",0,"25",11,27,3," 18","0.7201",0.252,0.0279,0," 0.0000"
"3","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_0005.jpg'",0,"27",11,1,3," 25","0.7862",0.1878,0.0166,0.0041," 0.0025"
"4","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_0004.jpg'",0,"27",11,4,3," 25","0.9323",0.0492,0.0059,0.0034," 0.0033"
"5","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_0007.jpg'",0,"25",27,11,6," 3","0.9788",0.019,0.0022,0," 0.0000"
"6","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_0003.jpg'",0,"1",27,21,20," 13","0.4255",0.2952,0.1434,0.041," 0.0348"
"7","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_0009.jpg'",0,"27",21,1,13," 20","0.3261",0.2611,0.15,0.093," 0.0550"
"8","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_0002.jpg'",0,"1",27,21,20," 13","0.4614",0.263,0.1522,0.0406," 0.0300"
"9","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_0006.jpg'",0,"27",11,3,1," 25","0.8101",0.1666,0.0077,0.0075," 0.0039"
"10","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_0011.jpg'",0,"11",27,20,25," 22","0.4246",0.2286,0.1424,0.0538," 0.0504"
"11","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_0014.jpg'",0,"27",11,22,20," 2","0.8091",0.1371,0.0214,0.008," 0.0075"
"12","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_0012.jpg'",0,"27",11,20,25," 22","0.3445",0.336,0.1288,0.0567," 0.0308"
"13","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_0010.jpg'",0,"11",27,22,25," 20","0.6293",0.1997,0.0564,0.0339," 0.0283"
"14","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_0016.jpg'",0,"27",22,11,3," 12","0.8255",0.0828,0.0663,0.0199," 0.0022"
"15","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_0017.jpg'",0,"27",22,11,3," 25","0.9665",0.017,0.0159,3e-04," 0.0001"
"16","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_0015.jpg'",0,"27",11,22,20," 2","0.6960",0.2138,0.0359,0.0149," 0.0122"
"17","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_0013.jpg'",0,"27",11,22,24," 21","0.6661",0.2992,0.0133,0.0098," 0.0041"
"18","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_0018.jpg'",0,"27",11,22,3," 25","0.9470",0.0357,0.0164,6e-04," 0.0001"
"19","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_0021.jpg'",0,"27",22,11,3," 25","0.9578",0.0211,0.0202,5e-04," 0.0001"
