,fileName,answer,guess1,guess2,guess3,guess4,guess5,confidence1,confidence2,confidence3,confidence4,confidence5
1,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0001.jpg',0,11,27,1,25,6,0.4872,0.2856,0.1699,0.0516,0.0014
2,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0002.jpg',0,11,27,25,22,21,0.5465,0.45,0.0025,3.00E-04,0.0001
8,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0003.jpg',0,27,11,25,26,8,0.8664,0.115,0.008,0.0067,0.0023
4,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0004.jpg',0,25,11,27,1,18,0.8427,0.1172,0.0373,0.0026,0.0001
7,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0005.jpg',0,25,11,27,6,26,0.962,0.0191,0.0156,0.0017,0.0007
15,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0006.jpg',0,11,25,27,3,6,0.8064,0.193,5.00E-04,0,0
5,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0007.jpg',0,4,3,11,27,23,0.4834,0.2112,0.1205,0.0548,0.0402
3,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0008.jpg',0,27,3,12,5,16,0.987,0.0049,0.003,0.0026,0.001
13,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0009.jpg',0,27,3,5,12,16,0.9847,0.0051,0.0037,0.0032,0.0015
6,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0010.jpg',0,4,17,1,27,11,0.5218,0.2373,0.1629,0.0412,0.0219
11,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0011.jpg',0,17,4,27,18,11,0.6401,0.2004,0.1434,0.0092,0.0019
