"","fileName","answer","guess1","guess2","guess3","guess4","guess5","confidence1","confidence2","confidence3","confidence4","confidence5"
"1","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006501.jpg'",25,"11",25,27,3," 21","0.9995",5e-04,0,0," 0.0000"
"2","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006504.jpg'",25,"11",25,27,3," 21","0.9996",4e-04,0,0," 0.0000"
"3","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006502.jpg'",25,"11",25,27,3," 21","0.9998",2e-04,0,0," 0.0000"
"4","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006506.jpg'",11,"11",25,27,3," 21","0.9992",7e-04,0,0," 0.0000"
"5","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006505.jpg'",11,"11",25,27,3," 21","0.9997",3e-04,0,0," 0.0000"
"6","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006508.jpg'",25,"11",25,27,3," 21","0.9992",7e-04,0,0," 0.0000"
"7","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006510.jpg'",11,"11",25,27,3," 6","0.9997",3e-04,0,0," 0.0000"
"8","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006512.jpg'",25,"11",25,27,3," 6","0.9997",3e-04,0,0," 0.0000"
"9","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006507.jpg'",25,"11",25,27,3," 21","0.9994",6e-04,0,0," 0.0000"
"10","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006511.jpg'",25,"11",25,27,3," 6","0.9999",1e-04,0,0," 0.0000"
"11","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006515.jpg'",25,"11",25,27,21," 3","0.9943",0.0056,0,0," 0.0000"
"12","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006503.jpg'",11,"11",25,27,3," 21","0.9994",6e-04,0,0," 0.0000"
"13","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006516.jpg'",11,"11",25,27,3," 6","0.9996",4e-04,0,0," 0.0000"
"14","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006513.jpg'",11,"11",25,27,3," 6","0.9991",8e-04,0,0," 0.0000"
"15","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006509.jpg'",11,"11",25,27,3," 6","0.9992",8e-04,0,0," 0.0000"
"16","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006517.jpg'",25,"11",25,3,21," 10","1.0000",0,0,0," 0.0000"
"17","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006518.jpg'",25,"11",25,1,3," 10","1.0000",0,0,0," 0.0000"
"18","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006519.jpg'",11,"11",25,3,27," 20","1.0000",0,0,0," 0.0000"
"19","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006514.jpg'",11,"11",25,27,3," 6","0.9993",7e-04,0,0," 0.0000"
"20","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006520.jpg'",25,"11",25,3,27," 1","0.9994",6e-04,0,0," 0.0000"
"21","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006525.jpg'",25,"11",25,27,3," 6","0.9996",4e-04,0,0," 0.0000"
"22","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006527.jpg'",11,"11",25,27,13," 3","0.9858",0.014,2e-04,0," 0.0000"
"23","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006523.jpg'",25,"11",25,27,3," 8","0.9998",2e-04,0,0," 0.0000"
"24","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006528.jpg'",27,"27",11,13,17," 1","0.9939",0.0026,0.0017,3e-04," 0.0003"
"25","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006526.jpg'",25,"11",25,27,3," 6","0.9995",5e-04,0,0," 0.0000"
"26","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006521.jpg'",11,"11",25,27,3," 21","0.9987",0.0013,0,0," 0.0000"
"27","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006522.jpg'",25,"11",25,3,27," 21","0.9984",0.0016,0,0," 0.0000"
"28","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006529.jpg'",27,"27",11,13,17," 1","0.9959",0.0015,0.0014,3e-04," 0.0002"
"29","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006530.jpg'",27,"27",13,11,17," 1","0.9969",0.0011,8e-04,3e-04," 0.0002"
"30","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006531.jpg'",27,"27",13,11,17," 1","0.9963",0.0014,9e-04,4e-04," 0.0002"
"31","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006533.jpg'",27,"27",13,11,17," 4","0.9967",0.0011,0.001,3e-04," 0.0002"
"32","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006534.jpg'",27,"27",11,13,17," 1","0.9954",0.0015,0.0015,4e-04," 0.0002"
"33","b'D:/Users/agre6595/Camera_trap_machine_learning/MLWIC_examples/images\\CA-01_0006537.jpg'",27,"27",13,11,1," 17","0.9946",0.0016,0.001,8e-04," 0.0006"
